Date,Open Price,Close Price,High Price,Low Price,Volume
11-Jul-2014,6672.37,6690.17,6696.10,6663.67,529996672
14-Jul-2014,6690.17,6746.14,6760.73,6690.17,468494688
15-Jul-2014,6746.14,6710.45,6764.00,6709.15,604327680
16-Jul-2014,6710.45,6784.67,6792.55,6710.45,610714432
17-Jul-2014,6784.67,6738.32,6784.67,6727.71,631292736
18-Jul-2014,6738.32,6749.45,6749.89,6690.90,584832064
21-Jul-2014,6749.45,6728.44,6753.42,6715.78,470501856
22-Jul-2014,6728.44,6795.34,6801.84,6728.44,537779520
23-Jul-2014,6795.34,6798.15,6822.65,6773.11,588953600
24-Jul-2014,6798.15,6821.46,6821.46,6767.33,541591296
25-Jul-2014,6821.46,6791.55,6830.77,6780.65,661619968
28-Jul-2014,6791.55,6788.07,6809.61,6761.77,528416416
29-Jul-2014,6788.07,6807.75,6833.67,6784.04,526963040
30-Jul-2014,6807.75,6773.44,6815.29,6758.24,692780416
31-Jul-2014,6773.44,6730.11,6797.09,6716.29,919565440
01-Aug-2014,6730.11,6679.18,6730.11,6624.72,690905472
04-Aug-2014,6679.18,6677.52,6715.56,6669.93,522832704
05-Aug-2014,6677.52,6682.48,6713.52,6671.46,512852256
06-Aug-2014,6682.48,6636.16,6682.48,6588.43,803798848
